Model,Tons,U. kW,C. kW,F. kW,Energy efficiency (kW/ton),IPLV (kW/ton),USgpm,psi/ft.w.g,MCA,Dimensions
ACHX-B 90S,80.10,119.52,104.40,15.12,1.492,0.973,191.56,3.4/7.7,265,152.0 L 89.0 W 89.0 H (in)
ACHX-B 90T,77.48,121.32,106.20,15.12,1.566,0.99,185.29,2.6/6.0,245,152.0 L 89.0 W 89.0 H (in)
ACHX-B 120S,108.20,145.42,130.30,15.12,1.344,0.924,258.76,3.8/8.7,323,152.0 L 89.0 W 89.0 H (in)
ACHX-B 120T,101.60,156.24,141.12,15.12,1.538,0.931,242.98,3.4/7.8,316,152.0 L 89.0 W 89.0 H (in)
ACHX-B 150S,140.97,186.84,166.68,20.16,1.325,0.896,337.13,10.2/23.5,415,197.3 L 89.0 W 96.0 H (in)
ACHX-B 150T,126.50,189.76,169.60,20.16,1.5,0.93,302.52,8.4/19.5,383,197.3 L 89.0 W 96.0 H (in)
ACHX-B 170S,141.60,200.16,180.00,20.16,1.414,1.019,338.64,7.7/17.8,445,197.3 L 89.0 W 96.0 H (in)
ACHX-B 180T,170.26,240.75,215.55,25.2,1.414,0.874,407.18,8.3/19.2,486,242.5 L 89.0 W 96.0 H (in)
ACHX-B 200S,188.91,261.00,235.80,25.2,1.382,0.922,451.78,10.0/23.1,580,242.5 L 89.0 W 89.0 H (in)
ACHX-B 200T,174.35,261.12,235.92,25.2,1.498,1.003,416.96,8.7/20.0,527,242.5 L 89.0 W 89.0 H (in)
ACHX-B 240T,215.70,292.64,262.40,30.24,1.357,0.858,515.85,10.3/23.7,591,287.8 L 89.0 W 96.0 H (in)
ACHX-B 270T,228.90,322.78,287.50,35.28,1.41,0.939,547.41,8.3/19.2,652,333.0 L 89.0 W 96.0 H (in)
ACHX-B 290T,246.00,351.78,316.50,35.28,1.43,0.941,588.31,9.5/21.8,711,333.0 L 89.0 W 96.0 H (in)
ACHX-B 330T,285.38,401.82,361.50,40.32,1.408,0.98,682.49,10.7/24.7,812,378.4 L 89.0 W 96.0 H (in)
ACHX-B 350T,328.01,447.92,402.56,45.36,1.366,0.896,784.44,8.2/18.8,905,423.6 L 89.0 W 96.0 H (in)
ACHX-B 400T,369.12,505.64,455.24,50.4,1.37,0.871,882.75,9.2/21.3,1021,468.9 L 89.0 W 96.0 H (in)
